Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,1.7926,0.1235,2.9876,0.2386,0.60,0.60
2,3.6449,0.3783,3.225,0.3460,1.13,0.55
3,4.9185,1.0333,3.2358,1.0974,1.52,0.43
4,7.5401,0.4145,4.1202,0.2629,1.83,0.38
5,10.4781,0.4418,5.0375,0.5050,2.08,0.31
6,15.6332,0.9253,6.7970,0.1272,2.3,0.32
7,11.3857,0.3156,4.7638,0.2637,2.39,0.32
8,16.0841,2.2382,6.3573,1.1730,2.53,0.27
