Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,0.8831,0.1415,1.4288,0.2273,0.62,0.62
2,0.9908,0.0291,0.8823,0.0610,1.12,0.56
3,1.0772,0.1197,0.7148,0.1516,1.51,0.50
4,0.7756,0.0432,0.3994,0.0181,1.94,0.49
5,0.6396,0.0905,0.3231,0.0362,1.98,0.40
6,0.7263,0.1933,0.3296,0.0996,2.20,0.37
7,0.7991,0.1481,0.3518,0.0822,2.27,0.32
8,0.7315,0.0371,0.2986,0.0161,2.45,0.31
