Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,4.8061,1.0180,7.9874,1.5684,0.60,0.60
2,4.4009,0.2979,4.1148,0.3272,1.07,0.53
3,4.4941,0.4664,3.1178,0.2396,1.44,0.48
4,5.9519,1.6545,4.0184,0.9137,1.48,0.37
5,6.2461,0.6669,3.1973,0.9461,1.95,0.39
6,5.2452,0.1925,2.7173,0.1920,1.93,0.32
7,5.3825,0.0229,1.9340,0.0745,2.78,0.40
8,5.7609,0.1893,2.7869,0.0394,2.07,0.26
