Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,2.2702,0.1045,3.3108,0.2396,0.69,0.69
2,2.1485,0.2714,2.0651,0.3356,1.04,0.52
3,2.2018,0.2576,1.7435,0.2367,1.26,0.42
4,2.2911,0.3920,1.5120,0.3395,1.52,0.38
5,2.0603,0.1380,1.2188,0.0787,1.69,0.34
6,1.7052,0.0893,0.9399,0.0454,1.81,0.30
7,2.3825,0.3513,1.2414,0.3339,1.92,0.27
8,2.0122,0.3310,0.9886,0.2064,2.04,0.25
