Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,0.2192,0.0229,0.3628,0.0145,0.60,0.60
2,0.3506,0.0153,0.3091,0.0256,1.13,0.57
3,0.4517,0.0151,0.2979,0.0026,1.52,0.51
4,0.8507,0.0526,0.4644,0.0434,1.83,0.46
5,0.9095,0.0317,0.4367,0.0300,2.08,0.42
6,1.0070,0.0828,0.4371,0.0393,2.30,0.38
7,1.0980,0.0765,0.4603,0.0369,2.39,0.34
8,1.5986,0.0976,0.6324,0.0471,2.53,0.32
