Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,1.6006,0.0817,2.6463,0.1209,0.60,0.60
2,1.4183,0.0320,1.2679,0.0193,1.12,0.56
3,1.6737,0.1800,1.1036,0.1375,1.52,0.51
4,1.5657,0.2835,0.8964,0.1607,1.75,0.44
5,1.5423,0.2049,0.9400,0.1246,1.64,0.33
6,1.7011,0.1759,0.9145,0.1504,1.86,0.31
7,1.9099,0.1632,0.9992,0.1215,1.91,0.27
8,1.9527,0.2817,0.9498,0.1510,2.06,0.26
