Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,1.3911,0.1250,2.2607,0.1433,0.62,0.62
2,1.2893,0.0075,1.1416,0.0014,1.13,0.56
3,1.2422,0.0747,0.8421,0.0181,1.48,0.49
4,1.1680,0.0457,0.6402,0.0242,1.82,0.46
5,1.3432,0.0325,0.7126,0.0428,1.88,0.38
6,1.4522,0.2513,0.7481,0.1475,1.94,0.32
7,1.6172,0.1402,0.7515,0.0996,2.15,0.31
8,1.4354,0.2228,0.5843,0.0769,2.46,0.31
