Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,5.4115,1.0642,9.9043,2.0980,0.55,0.55
2,5.9280,0.5802,6.9261,0.8156,0.86,0.43
3,6.4825,0.6281,5.7570,0.3083,1.13,0.38
4,5.9587,1.3607,4.4980,1.0419,1.32,0.33
5,5.4325,1.6075,3.8748,1.1042,1.40,0.28
6,6.1492,0.9338,3.9740,0.5997,1.55,0.26
7,6.3354,0.9680,3.9105,0.7282,1.62,0.23
8,5.8302,1.8361,3.3779,1.0706,1.73,0.22
