Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,0.3989,0.0345,0.5867,0.0670,0.68,0.68
2,0.8193,0.1337,0.6844,0.1171,1.20,0.60
3,1.3486,0.0448,0.8948,0.0537,1.51,0.50
4,1.7758,0.1746,0.9927,0.0946,1.79,0.45
5,2.1371,0.3003,1.0855,0.1686,1.97,0.39
6,2.7578,0.2129,1.4863,0.2114,1.86,0.31
7,3.4699,0.4874,1.7694,0.3141,1.96,0.28
8,3.5548,0.3151,1.6405,0.1793,2.17,0.27
