Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,1.7926,0.1235,2.9675,0.2386,0.60,0.60
2,3.6449,0.3783,3.2978,0.3460,1.11,0.55
3,4.9185,1.0333,3.8073,1.0974,1.29,0.43
4,7.5401,0.4145,4.9859,0.2629,1.51,0.38
5,10.4781,0.4418,6.6888,0.5050,1.57,0.31
6,15.6332,0.9253,8.1747,0.1272,1.91,0.32
7,11.3857,0.3156,5.1381,0.2637,2.22,0.32
8,16.0841,2.2382,7.4795,1.1730,2.15,0.27
