Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,0.6364,0.0436,1.0314,0.0614,0.62,0.62
2,0.8834,0.0751,0.8066,0.0658,1.10,0.55
3,0.8163,0.1059,0.5494,0.0779,1.49,0.50
4,0.6685,0.0765,0.3413,0.0261,1.96,0.49
5,0.6687,0.0406,0.3124,0.0216,2.14,0.43
6,0.7261,0.0108,0.3215,0.0066,2.26,0.38
7,0.6160,0.0244,0.2563,0.0054,2.40,0.34
8,0.6135,0.1334,0.2894,0.0936,2.12,0.27
