Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,0.2891,0.0559,0.4810,0.0828,0.60,0.60
2,0.7587,0.1173,0.6683,0.0866,1.14,0.57
3,1.3428,0.1509,0.9105,0.1176,1.47,0.49
4,1.3905,0.0557,0.7293,0.0194,1.91,0.48
5,1.7827,0.0759,0.9870,0.1517,1.81,0.36
6,2.3620,0.1530,1.3299,0.0767,1.78,0.30
7,2.9013,0.6291,1.6114,0.3757,1.80,0.26
8,3.2480,0.1257,1.7786,0.0904,1.83,0.23
