Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,29.9706,0.0,38.295,0.0,0.78,0.78
2,85.7446,0.0,66.8344,0.0,1.28,0.64
3,223.6307,0.0,123.3185,0.0,1.81,0.6
4,398.4888,0.0,185.6973,0.0,2.15,0.54
5,102.0701,0.0,67.255,0.0,1.52,0.3
6,601.8269,0.0,276.956,0.0,2.17,0.36
7,657.8125,0.0,324.1145,0.0,2.03,0.29
8,765.8667,0.0,339.7227,0.0,2.25,0.28
