Threads,MeanSeq,StdSeq,MeanPar,StdPar,Speedup,Efficiency
1,8.0984,0.3032,10.0561,0.2097,0.81,0.81
2,8.1764,0.0502,6.5238,0.3158,1.25,0.63
3,15.7271,0.1651,10.3848,0.7614,1.51,0.5
4,65.098,0.4253,35.8974,0.4383,1.81,0.45
5,35.6798,0.0858,19.4371,0.3864,1.84,0.37
6,112.1522,0.8173,55.0686,0.5364,2.04,0.34
7,116.3025,0.4331,57.3956,0.1647,2.03,0.29
8,147.2798,0.1082,66.657,0.2273,2.21,0.28
